"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.007544167E-1,-6.941579072E-1,2.438597660E0,-1.767109262E0,3.090515959E0
6.108344167E-1,-9.490859847E-1,8.806327772E-1,-2.291871139E0,2.632290184E0
6.209154167E-1,-8.226896475E-1,-1.410960034E0,-2.117983716E0,2.674599315E0
6.309954167E-1,-7.641964410E-1,-1.909076734E0,-2.782083280E0,3.459560313E0
6.410754167E-1,-1.206651887E-1,-2.041657671E0,-2.783429602E0,3.454042050E0
6.511554166E-1,1.093525806E-1,-2.316517153E0,-1.868780648E0,2.978346994E0
6.612354167E-1,-2.441250542E-1,-2.221811555E0,-2.844801977E-1,2.253213841E0
6.713154167E-1,-4.368875813E-1,-1.310469786E0,1.814675776E0,2.280624913E0
6.813954167E-1,2.104176978E0,2.962511106E0,5.148253527E0,6.301471827E0
6.914754167E-1,1.442692289E-1,1.937272593E0,4.327271412E0,4.743323369E0
7.015554167E-1,-1.126298865E0,1.777360600E-1,2.559290915E0,2.801804638E0
7.116354167E-1,-8.236455211E-1,-7.025675189E-1,9.618544033E-1,1.448156399E0
7.217154167E-1,-2.694107243E0,-2.985895291E0,-1.619259198E0,4.335410578E0
7.317954167E-1,-5.418421787E0,-5.886736398E0,-2.728311993E0,8.453203323E0
7.418764167E-1,-6.457942125E0,-6.783848383E0,-3.209917325E0,9.900968872E0
7.519564167E-1,-1.927994816E0,3.122264054E0,-1.333793452E0,3.904446415E0
7.620364167E-1,4.971820226E-1,5.092067047E0,-8.559078258E-1,5.187380358E0
7.721164167E-1,1.485598865E0,1.570271518E0,-1.485175234E-1,2.166751966E0
7.821964167E-1,3.301406662E0,1.829717154E0,1.655838210E0,4.121765518E0
7.922764167E-1,3.564951781E0,2.264102712E0,2.244715391E0,4.782655066E0
8.023564167E-1,4.776959133E0,4.321085351E0,3.281217981E0,7.228935510E0
8.124364167E-1,5.095439721E0,4.276618445E-1,4.790493391E0,7.006798665E0
8.225164167E-1,-2.385478922E0,-1.024450426E1,2.676697743E0,1.085380523E1
8.325964167E-1,2.650060460E0,-1.256459640E0,3.863876648E0,4.850881778E0
8.426764167E-1,8.080012956E-1,-5.242841595E-1,2.692753905E0,2.859836283E0
8.527564167E-1,-7.311183035E-1,4.411110252E-1,7.772601441E-1,1.154662826E0
8.628374167E-1,-1.790266575E0,1.357693654E0,-7.493870518E-1,2.368536979E0
8.729174167E-1,-1.373080309E0,3.233392727E0,7.740719497E-2,3.513711703E0
8.829974167E-1,-1.790590510E0,1.319204941E0,-4.463296652E-2,2.224524254E0
8.930774167E-1,-1.930038710E0,-4.204715234E-1,3.999349326E-1,2.015389212E0
9.031574167E-1,-1.725097017E0,-9.972987628E-1,1.103860175E0,2.277953430E0
9.132374167E-1,-1.308619727E0,-1.831663692E0,-2.166141969E-1,2.261503743E0
9.233174167E-1,-1.450769340E0,-3.096825158E0,6.185023919E-1,3.475284585E0
9.333974167E-1,-1.480410630E0,-4.463021833E0,2.354888921E0,5.258866926E0
9.434774167E-1,-1.307552902E0,-3.941976446E0,1.807833949E0,4.529584582E0
9.535574167E-1,-1.965196263E0,-1.856760526E0,7.485853985E-1,2.805340640E0
9.636374167E-1,-2.888405249E0,-6.088547784E-1,9.035743278E-1,3.087075572E0
9.737174167E-1,-4.530395498E0,1.706657238E0,1.798983604E-1,4.844535655E0
9.837974167E-1,-5.193201073E0,1.252467746E-1,1.771308147E0,5.488402017E0
9.938784167E-1,-3.981128232E0,-1.601434838E0,2.192553842E0,4.818845079E0
1.003958417E0,-3.064519876E0,-2.807554044E0,1.651640201E0,4.472310045E0
1.014038417E0,-2.652308714E0,-4.346087460E0,1.223922223E0,5.236525884E0
1.024118417E0,-2.638583545E0,-4.970832047E0,9.078612140E-1,5.700482992E0
1.034198417E0,-2.817079743E0,-5.431216080E0,2.128485900E-1,6.122038133E0
1.044278417E0,-2.800314022E0,-5.572057963E0,-1.025852179E0,6.319965289E0
1.054358417E0,-2.685985753E0,-4.085841925E0,-1.251200654E0,5.047189988E0
1.064438417E0,-2.742061720E0,-2.995249667E0,1.815826508E-1,4.064897945E0
1.074518417E0,-2.889278238E0,-2.365012205E0,8.512937880E-1,3.829609978E0
1.084598417E0,-3.178608994E0,-1.778497299E0,1.046245805E0,3.789622417E0
1.094678417E0,-2.837403495E0,-2.038874397E0,7.005698177E-1,3.563518692E0
1.104758417E0,-2.093226605E0,-2.244044423E0,3.285380906E-1,3.086303658E0
1.114839417E0,-1.446549112E0,-2.984082069E0,-3.971396711E-1,3.339905695E0
1.124919417E0,-7.056425697E-1,-3.565067264E0,-7.620632306E-1,3.713270311E0
1.134999417E0,-8.662649989E-1,-2.939364318E0,-1.092852499E0,3.253398873E0
1.145079417E0,-8.800784612E-1,-3.132873827E0,-1.674986087E0,3.659920068E0
1.155159417E0,4.376067889E-1,-3.050994682E0,-1.765905612E0,3.552251523E0
1.165239417E0,2.459023154E0,-2.674360319E0,-1.132298401E0,3.805403744E0
1.175319417E0,5.363939770E0,-2.372833441E0,-5.829232541E-1,5.894233446E0
1.185399417E0,1.406928262E1,3.356901124E0,1.901704565E0,1.458869353E1
1.195479417E0,9.818939223E0,4.504593197E0,1.418822200E0,1.089568648E1
1.205559417E0,4.245577916E0,-6.703768426E-1,1.534467116E0,4.563871852E0
1.215639417E0,-1.817595291E-1,1.705649763E0,3.486285388E0,3.885416767E0
1.225719417E0,-2.834976901E0,1.437252975E1,-2.092351569E-1,1.465095508E1
1.235799417E0,-8.429334390E0,1.798723987E1,-6.092993422E0,2.077784987E1
1.245880417E0,-5.066968458E0,1.481988034E1,2.132579536E0,1.580667321E1
1.255960417E0,-1.269405960E0,-4.483954865E-1,1.149286843E1,1.157145084E1
1.266040417E0,3.933854079E0,-4.289741351E0,7.182822034E0,9.244999791E0
1.276120417E0,1.056771963E1,5.415080103E0,-3.928244260E0,1.250723365E1
1.286200417E0,8.232447529E0,3.047539562E-1,-5.651548521E0,9.990298693E0
1.296280417E0,3.154122609E0,4.118156562E0,-1.023325772E1,1.147289268E1
1.306360417E0,-2.320983256E0,2.479594243E0,-1.274463567E1,1.318943097E1
1.316440417E0,-8.029072013E0,-8.019039361E0,-2.569227381E0,1.163494388E1
1.326520417E0,-5.193582897E0,-2.574040809E0,2.306685644E0,6.238572597E0
1.336600417E0,-8.458558774E-1,8.430996754E0,1.504496773E0,8.605852019E0
1.346680417E0,-1.914278417E0,6.742506230E0,5.922410846E-1,7.033960593E0
1.356760417E0,-1.247463698E0,4.290959326E0,2.112604278E0,4.942832634E0
1.366841417E0,-1.978820568E-1,4.211778671E0,2.408320777E0,4.855743593E0
1.376921417E0,5.335765547E-1,3.073051549E0,1.091310296E0,3.304437611E0
1.387001417E0,6.945866543E-1,2.222604437E0,-5.556620729E-1,2.393988606E0
1.397081417E0,9.871257770E-1,1.385044590E0,-5.112244399E-1,1.775983176E0
1.407163917E0,1.419832599E0,6.629953176E-1,-6.155048168E-1,1.683547914E0
1.417243917E0,1.831401152E0,1.355139005E-1,2.691998883E-1,1.856034153E0
1.427323917E0,1.947721567E0,-3.769530362E-1,9.290254303E-1,2.190616613E0
1.437403917E0,1.462227252E0,-6.850714803E-2,8.961057524E-1,1.716335423E0
1.447483917E0,9.663675767E-1,-4.111294270E-2,4.453904562E-1,1.064861130E0
1.457563917E0,1.023103403E0,-8.631729913E-1,1.255639275E0,1.835330536E0
1.467643917E0,1.524501560E0,-1.486268663E0,2.098336633E0,2.989333734E0
1.477723917E0,2.201530195E0,-2.028661065E0,2.713504504E0,4.040458837E0
1.487804917E0,2.725893877E0,-2.742186851E0,2.629461596E0,4.675912151E0
1.497884917E0,3.054791864E0,-3.711339456E0,2.378158500E0,5.362968557E0
1.507964917E0,3.010814078E0,-4.535253657E0,2.352093659E0,5.930081933E0
1.518044917E0,2.521599179E0,-5.254165898E0,1.866019592E0,6.119375035E0
1.528124917E0,1.685654332E0,-5.664518230E0,1.828525491E0,6.186412755E0
1.538204917E0,9.261960357E-1,-5.590688362E0,2.856387358E0,6.346068404E0
1.548284917E0,3.835071802E-2,-5.680433766E0,1.358756385E0,5.840806234E0
1.558364917E0,-6.957715926E-1,-5.279198413E0,1.412170408E0,5.508925417E0
1.568444917E0,-9.614635170E-2,-4.395305813E0,2.256284984E0,4.941536122E0
1.578524917E0,1.364852985E0,-3.534851777E0,4.064701316E0,5.556959380E0
1.588604917E0,5.817190200E-1,-2.709663468E0,6.869782573E0,7.407738233E0
1.598684917E0,-1.394677877E0,-3.075507379E0,6.497036608E0,7.322250796E0
1.608764917E0,-2.303602992E0,-2.467665339E0,9.096856037E0,9.703027813E0
1.618845917E0,1.305110813E0,-2.383518643E0,-1.071676662E0,2.921124137E0
1.628925917E0,-2.517814568E0,-5.545288240E0,8.810345979E0,1.071035985E1
1.639005917E0,-3.926121136E0,-5.689566532E0,9.035489509E0,1.137654012E1
1.649085917E0,-1.049548897E0,-3.818770350E0,-4.891301143E-1,3.990464652E0
1.659165917E0,-3.806826827E0,-2.650455147E-1,-1.231828244E0,4.009935216E0
1.669245917E0,-9.150603644E0,4.588342867E0,-4.525686443E0,1.119233108E1
1.679325917E0,-1.242447957E1,8.472083384E0,-4.694742311E0,1.575387237E1
1.689405917E0,-1.186001977E1,1.028322686E1,7.282533140E-1,1.571417120E1
1.699485917E0,-8.667130710E0,9.980356289E0,5.217918423E0,1.421102878E1
1.709565917E0,-6.025552222E0,7.552931489E0,-1.204933391E0,9.736833064E0
1.719645917E0,-3.198181379E0,6.869323567E0,-6.064756633E0,9.705526437E0
1.729725917E0,-7.871550947E-1,8.951239318E0,-6.127140577E0,1.087594364E1
1.739805917E0,6.705645382E-1,1.199962790E1,-2.882093765E0,1.235909345E1
1.749886917E0,1.861753464E0,1.422504075E1,2.030649118E0,1.448935631E1
1.759966917E0,2.709319652E0,1.407371481E1,4.038408726E0,1.489021849E1
1.770046917E0,3.149620838E0,1.114552510E1,2.551912022E0,1.185981013E1
1.780126917E0,3.759347436E0,7.676784287E0,1.324174490E0,8.649806253E0
1.790206917E0,4.235020768E0,4.915254847E0,6.892937547E-1,6.524588646E0
1.800286917E0,4.253786822E0,3.054435768E0,1.694990873E-1,5.239562017E0
1.810366917E0,4.040724224E0,1.827413936E0,-6.843995621E-1,4.487237090E0
1.820446917E0,3.840988600E0,1.061526918E0,-1.644532326E0,4.310976617E0
1.830526917E0,3.963642134E0,5.252746779E-1,-2.816429533E0,4.890669460E0
1.840606917E0,4.092089090E0,8.610434353E-2,-3.551014650E0,5.418700225E0
1.850686917E0,3.971568035E0,-4.169994467E-1,-3.518095996E0,5.322052295E0
1.860766917E0,3.608407996E0,-6.648675960E-1,-2.910417677E0,4.683288187E0
1.870847917E0,3.036506451E0,-8.347297955E-1,-1.906085737E0,3.681074313E0
1.880927917E0,2.478384454E0,-1.062166019E0,-9.136379707E-1,2.846984457E0
1.891007917E0,2.096610389E0,-1.294383511E0,-6.836687332E-1,2.557069951E0
1.901087917E0,1.889100891E0,-1.442087102E0,-1.402956073E0,2.759819402E0
1.911167917E0,1.667703087E0,-1.617097190E0,-2.369637645E0,3.318345895E0
1.921247917E0,1.571157956E0,-1.841233245E0,-2.915825767E0,3.789553679E0
1.931327917E0,1.594018230E0,-2.037994975E0,-2.661349387E0,3.711751365E0
1.941407917E0,1.756049838E0,-2.395365102E0,-1.791856140E0,3.468750990E0
1.951487917E0,2.420295290E0,-3.033978699E0,-1.180933494E0,4.056779506E0
1.961567917E0,3.112857639E0,-3.970282232E0,-6.445584619E-1,5.086106496E0
1.971647917E0,3.617015682E0,-4.659180130E0,2.715008408E-2,5.898431915E0
1.981727917E0,4.258010851E0,-5.146909837E0,7.808056033E-1,6.725399219E0
1.991807917E0,4.850729068E0,-5.876192699E0,2.031882881E0,7.885921707E0
2.001888917E0,5.050600348E0,-6.750245605E0,3.728151371E0,9.218106760E0
2.011968917E0,4.438875171E0,-7.199387780E0,5.987987954E0,1.036295310E1
2.022048917E0,3.053520094E0,-7.461455893E0,8.235895048E0,1.152507164E1
2.032128917E0,1.556974949E0,-8.992134744E0,9.161996943E0,1.293154462E1
2.042208917E0,7.669237286E-1,-1.062751676E1,7.515699928E0,1.303909621E1
2.052288917E0,1.174455948E0,-1.050470535E1,5.765918305E0,1.204051474E1
2.062368917E0,2.763330383E0,-7.932295332E0,4.737394533E0,9.643661701E0
