"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.072303333E-1,-5.427079759E0,6.086946232E0,-1.762876755E0,8.343371237E0
6.173103333E-1,-4.319607174E0,-9.183122349E0,-2.416693990E0,1.043212117E1
6.273903333E-1,-3.556575937E0,-7.840035625E0,-3.165810024E0,9.172662868E0
6.374703333E-1,-2.806488097E-1,1.285019780E0,-2.109595739E0,2.486047822E0
6.475503333E-1,1.996869169E0,1.824140080E0,-1.052877717E0,2.902330959E0
6.576293333E-1,1.780574230E0,1.931516594E-1,3.557995641E-1,1.826019026E0
6.677093333E-1,9.366947114E-1,5.493318772E-1,-4.594074015E-1,1.179074915E0
6.777893333E-1,-2.195641172E-1,1.582537222E-1,-1.226228658E0,1.255742554E0
6.878693333E-1,2.597391665E-1,-5.533068144E-1,3.657012391E-1,7.122852391E-1
6.979493333E-1,1.797841642E0,-3.690762520E-2,2.162744737E0,2.812660936E0
7.080283333E-1,2.068218648E0,-6.610867864E-1,1.272508492E0,2.516712534E0
7.181083333E-1,1.862379116E0,-7.436909866E-1,-2.447762878E-1,2.020259312E0
7.281883333E-1,1.718789041E0,-3.012982517E-1,-1.224575284E0,2.131806987E0
7.382683333E-1,1.631656172E0,-8.902654803E-1,-1.419266735E0,2.338630487E0
7.483483333E-1,1.297234029E0,-1.418185439E0,-9.283764625E-1,2.134466893E0
7.584273333E-1,6.225606519E-1,-1.455060904E0,3.232231177E-2,1.582980964E0
7.685073333E-1,6.602032721E-2,-1.568934259E0,8.383631091E-1,1.780102833E0
7.785873333E-1,-6.243569165E-1,-1.521965915E0,7.696597139E-1,1.816198745E0
7.886673333E-1,-1.092746372E0,-9.510192204E-1,2.571921194E-1,1.471285145E0
7.987473333E-1,-1.351213769E0,-5.992337698E-1,-9.889395833E-2,1.481431664E0
8.088263333E-1,-2.237373335E0,5.317750275E-1,-1.655796987E0,2.833776240E0
8.189063333E-1,-3.275854622E0,1.041816539E0,-1.651084131E0,3.813487120E0
8.289863333E-1,-3.396948704E0,-4.280524385E-1,-1.213072715E0,3.632359399E0
8.390663333E-1,-3.559658005E0,-1.578789157E0,-8.462021057E-1,3.984946463E0
8.491463333E-1,-3.432254777E0,-2.116108514E0,-7.054863759E-1,4.093409230E0
8.592253333E-1,-2.605231027E0,-2.739132850E0,-8.957887602E-1,3.884908619E0
8.693053333E-1,-1.787940552E0,-2.983438291E0,-1.208327115E0,3.682076842E0
8.793853333E-1,-1.512693400E0,-3.184673141E0,-1.167769657E0,3.714036929E0
8.894653333E-1,-1.153398371E0,-3.224318433E0,-6.619573637E-1,3.487799408E0
8.995453333E-1,-7.877146733E-1,-2.508891717E0,-1.057796322E0,2.834425006E0
9.096243333E-1,-2.903493404E-1,-1.683450224E0,-1.312319845E0,2.154179837E0
9.197043333E-1,-6.330780387E-3,-5.515894872E-1,-1.265787703E0,1.380764118E0
9.297843333E-1,1.110386252E-2,1.680138946E-2,-1.181883667E0,1.182055237E0
9.398643333E-1,6.245563066E-1,2.010555162E0,-4.316402900E-1,2.149119815E0
9.499443333E-1,1.503770549E0,3.636114442E0,1.079750497E-2,3.934815204E0
9.600233333E-1,1.675507366E0,4.489107431E0,-1.348624038E0,4.977770310E0
9.701033333E-1,1.979481304E-1,1.593436432E0,-3.945972433E0,4.260155111E0
9.801833333E-1,-2.937915963E-1,-6.697459280E-2,-2.147468301E0,2.168506214E0
9.902633333E-1,3.410675043E-1,2.511199613E0,-1.622150939E0,3.008957329E0
1.000343333E0,-6.592817509E-1,1.644125944E-1,-1.952738478E0,2.067576236E0
1.010422333E0,-1.686956214E0,-3.126598011E0,-2.282085239E0,4.222481430E0
1.020502333E0,-2.264007987E0,-6.257258667E0,-1.252266601E0,6.771055296E0
1.030582333E0,-3.377397954E0,-6.379414603E0,3.067808350E0,7.843162353E0
1.040662333E0,-2.539883714E0,-3.490335755E0,-2.601122189E-1,4.324478157E0
1.050742333E0,-2.899485723E0,-2.508515157E0,-3.738824294E0,5.355228552E0
1.060821333E0,-4.299023806E0,-4.978915823E0,-4.452840661E0,7.943487798E0
1.070901333E0,-2.447726333E-1,-2.205101967E0,-2.078052496E0,3.039850408E0
1.080981333E0,2.658726618E0,1.070073794E0,-6.581035370E-1,2.940575695E0
1.091061333E0,1.069930537E0,8.729173762E-1,-2.178190742E0,2.579001940E0
1.101141333E0,-2.684310526E-1,1.479140908E0,-2.719059944E0,3.106959934E0
1.111220333E0,-1.850131538E0,4.415460581E-1,-3.125356647E0,3.658661476E0
1.121300333E0,-1.704317767E0,-8.527760571E-1,-2.747755739E0,3.343962867E0
1.131380333E0,-1.202654146E0,-1.276857067E0,-2.429007642E0,2.996134024E0
