"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.181041667E-1,-1.574127464E0,1.533607721E-1,1.001899352E0,1.872217699E0
6.281851667E-1,-1.024954339E0,-1.169427343E0,-1.943635533E0,2.489138564E0
6.382651667E-1,2.188861325E-1,-2.688935673E0,-1.230507942E0,2.965204207E0
6.483461667E-1,1.324300790E0,-2.020483149E0,-2.900137103E-1,2.433152829E0
6.584271667E-1,1.151499780E0,-5.272218007E-1,3.903817517E-1,1.325259402E0
6.685081667E-1,6.472782943E-1,-2.880923152E-2,-1.264787098E-1,6.601484879E-1
6.785891667E-1,5.544093069E-1,9.409573317E-2,-4.084104717E-1,6.949984173E-1
6.886691667E-1,4.909047443E-1,2.525108385E-1,-1.508095589E-1,5.722697918E-1
6.987501667E-1,5.218309602E-1,2.320666337E-1,-3.229363849E-1,6.560871758E-1
7.088311667E-1,1.903499660E-1,1.996666270E-1,-1.910729742E-1,3.355722768E-1
7.189121667E-1,2.323668882E-1,2.093478620E-1,5.374596906E-1,6.218390604E-1
7.289931667E-1,9.453234476E-1,-1.046441102E-1,5.203301992E-1,1.084126527E0
7.390731667E-1,1.517289604E0,-5.100175381E-1,6.545601974E-1,1.729374073E0
7.491541667E-1,1.281230784E0,-5.317148012E-1,6.258964884E-1,1.521847353E0
7.592351667E-1,8.237861466E-1,-5.435489810E-1,2.600525042E-1,1.020635300E0
7.693161667E-1,6.896112585E-1,-7.109629512E-1,5.920357011E-2,9.922384131E-1
7.793971667E-1,8.181517696E-1,-7.678961205E-1,-3.260692500E-2,1.122541751E0
7.894771667E-1,1.059221946E0,-6.855573839E-1,-1.235996870E-1,1.267760600E0
7.995581667E-1,1.272645902E0,-5.313493502E-1,-1.750837630E-1,1.390184897E0
8.096391667E-1,1.281695053E0,-4.131706899E-1,-1.599254411E-1,1.356107803E0
8.197201667E-1,1.156746486E0,-3.665186799E-1,-1.385000736E-1,1.221302848E0
8.298011667E-1,1.014165641E0,-3.462610012E-1,-9.253690202E-2,1.075635490E0
8.398821667E-1,8.687950891E-1,-4.019761956E-1,-3.774845481E-2,9.580264686E-1
8.499621667E-1,7.355402604E-1,-5.211898130E-1,-1.731411718E-2,9.016418771E-1
8.600431667E-1,6.891800264E-1,-5.721646696E-1,-7.197264656E-3,8.957640976E-1
8.701241667E-1,6.547861192E-1,-6.089366394E-1,2.262510661E-2,8.944610602E-1
8.802051667E-1,6.237891519E-1,-5.965469742E-1,1.142078161E-1,8.706460956E-1
8.902851667E-1,6.406694788E-1,-6.192423570E-1,1.035617906E-1,8.970192430E-1
9.003661667E-1,6.623629412E-1,-6.157509845E-1,2.021557137E-1,9.266827253E-1
9.104471667E-1,7.006776989E-1,-6.235470772E-1,2.124977571E-1,9.617252684E-1
9.205281667E-1,6.908871210E-1,-6.769087672E-1,1.170683106E-1,9.742871663E-1
9.306091667E-1,6.284008509E-1,-6.487438989E-1,1.111046988E-1,9.100002911E-1
9.406891667E-1,6.553547609E-1,-4.744033170E-1,1.443987812E-1,8.218268539E-1
9.507701667E-1,6.763243380E-1,-4.024182451E-1,1.057673603E-1,7.940666148E-1
9.608511667E-1,6.025520647E-1,-3.240281332E-1,1.337199382E-1,6.970970116E-1
9.709321667E-1,5.784741077E-1,-2.458993918E-1,2.115920234E-1,6.632269510E-1
9.810131667E-1,6.176513296E-1,-1.968494385E-1,2.536405571E-1,6.961152194E-1
9.910941667E-1,7.405063006E-1,-2.679743850E-1,2.991862740E-1,8.424204881E-1
1.001174167E0,8.594296038E-1,-3.192608982E-1,4.206007469E-1,1.008688135E0
1.011255167E0,1.007381409E0,-3.308500797E-1,5.428864914E-1,1.191219888E0
1.021336167E0,1.073373085E0,-2.488604218E-1,7.072985011E-1,1.309325192E0
1.031417167E0,1.172109753E0,-2.250213236E-1,8.543425262E-1,1.467779623E0
1.041497167E0,1.319217221E0,-2.357240671E-1,9.598344827E-1,1.648387741E0
1.051578167E0,1.403422388E0,-1.903403181E-1,1.132791029E0,1.813570884E0
1.061659167E0,1.413441885E0,-2.490101105E-1,1.212031326E0,1.878521741E0
1.071740167E0,1.419030654E0,-2.935389966E-1,1.180676801E0,1.869173841E0
1.081821167E0,1.424535515E0,-3.551628023E-1,1.189840558E0,1.889751995E0
1.091901167E0,1.451348799E0,-4.321601075E-1,1.179852344E0,1.919694572E0
1.101982167E0,1.543310591E0,-5.331228107E-1,1.125608309E0,1.983184706E0
1.112063167E0,1.596239879E0,-6.036080718E-1,1.048403428E0,2.002866497E0
1.122144167E0,1.659891207E0,-5.345553786E-1,8.820922422E-1,1.954245378E0
1.132225167E0,1.896257006E0,-1.548249149E-1,6.664989692E-1,2.015932108E0
1.142305167E0,2.251786429E0,3.987315756E-1,4.856077516E-1,2.337807494E0
1.152386167E0,2.747340002E0,8.936533570E-1,3.144404536E-1,2.906091225E0
1.162467167E0,3.116048172E0,1.299575838E0,1.380931073E-1,3.379012174E0
1.172548167E0,3.001643597E0,1.549266565E0,4.064399600E-2,3.378127160E0
1.182629167E0,2.629710103E0,1.500214857E0,-8.422855675E-2,3.028714958E0
1.192709167E0,2.072784739E0,1.364377606E0,-2.294383103E-1,2.492108498E0
1.202790167E0,1.523394682E0,1.158992402E0,-1.963787377E-1,1.924203564E0
1.212871583E0,9.718642518E-1,8.862238848E-1,-1.433924389E-1,1.323054908E0
1.222952583E0,4.866421241E-1,6.028309768E-1,-7.296974301E-2,7.781711425E-1
1.233033583E0,6.419862717E-2,3.842287266E-1,-3.203806400E-2,3.908703310E-1
1.243113583E0,-4.418559605E-1,4.224958295E-1,-1.160789251E-2,6.114524993E-1
1.253194583E0,-8.859034574E-1,5.460960281E-1,-1.503442027E-1,1.051498544E0
1.263275583E0,-1.015675977E0,7.094754195E-1,-3.981386679E-1,1.301332955E0
1.273356583E0,-1.092300814E0,7.217352766E-1,-5.479115885E-1,1.419235705E0
