"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.253307083E-1,-2.944944316E-1,7.477928084E-1,1.095301021E0,1.358530596E0
6.354107083E-1,1.444809566E0,-6.715685052E-1,7.165996671E-2,1.594871182E0
6.454907084E-1,1.568888066E0,-6.965647674E-1,-1.843665102E-1,1.726442368E0
6.555707084E-1,1.018318918E0,-3.759478998E-1,1.032145537E0,1.497876715E0
6.656507083E-1,1.037273253E0,-8.314161783E-1,1.345233530E0,1.891254058E0
6.757307083E-1,1.069535265E0,-1.574987297E0,6.004002893E-1,1.996239258E0
6.858107084E-1,1.909538080E0,-1.221645902E0,-1.889811328E-1,2.274745756E0
6.958907084E-1,7.056992877E-1,-4.270981729E-1,-7.509994215E-1,1.115537747E0
7.059707083E-1,2.651893562E-1,1.047445069E0,-3.929296759E-1,1.149721835E0
7.160507083E-1,6.177267587E-1,9.926987582E-1,-4.077927133E-1,1.238277865E0
7.261297083E-1,8.745025563E-1,6.254649639E-2,5.607742935E-2,8.785280094E-1
7.362097084E-1,-1.455688895E0,5.730031604E-1,-6.448601782E-2,1.565733447E0
7.462897084E-1,-1.912097406E0,6.600687861E-2,1.412339392E-1,1.918442186E0
7.563697083E-1,-5.271533883E-1,-3.342227536E-1,-1.272837983E0,1.417643141E0
7.664497083E-1,1.356303186E0,2.968046665E-2,-2.432821780E0,2.785509124E0
7.765297084E-1,4.212296734E0,-1.574042972E0,-1.280015148E0,4.675413760E0
7.866097084E-1,7.445260275E0,-3.942147185E0,7.494646735E-1,8.457784715E0
7.966897083E-1,9.870784146E0,-5.834941177E0,3.193857655E0,1.190292590E1
8.067697083E-1,8.637609288E0,-5.713248925E0,3.956579575E0,1.108620897E1
8.168497084E-1,5.670039171E0,-3.329816236E0,-7.002841812E-1,6.612671042E0
8.269297084E-1,-3.055142112E0,2.132963113E0,-1.235815694E1,1.290765153E1
8.370097083E-1,-1.721608101E1,1.152552045E1,-1.001321998E1,2.301077229E1
8.470887083E-1,-1.481197490E1,6.790397850E0,2.053719015E-1,1.629559085E1
8.571687083E-1,-1.033402396E0,-4.362314653E0,2.943325807E0,5.362916785E0
8.672487084E-1,1.704128317E0,-3.536158630E0,5.675601043E0,6.900791141E0
8.773287084E-1,-2.444468265E0,-3.041953132E0,6.056858214E0,7.205167269E0
8.874087083E-1,-5.337294593E0,-1.523355213E0,-3.170214146E0,6.391993618E0
8.974887083E-1,-2.990537980E0,6.001266396E-1,-3.812593936E0,4.882554855E0
9.075687084E-1,-8.962249625E-1,-1.414137411E0,2.427401558E0,2.948776377E0
9.176487084E-1,-9.853961706E-1,-1.147358782E0,1.357543673E0,2.032329356E0
9.277287083E-1,1.552562640E0,-1.228110584E0,1.919722760E-1,1.988858897E0
9.378087083E-1,4.528539884E0,-3.384767784E0,-1.300370475E0,5.801317937E0
9.478887084E-1,3.014175349E0,-3.294062852E0,-1.940012598E-1,4.469198988E0
9.579687084E-1,-1.256001218E0,-5.359183645E-1,1.139775528E0,1.778717461E0
9.680477084E-1,-2.459797325E0,-7.888303220E-2,9.389739561E-1,2.634102789E0
9.781277083E-1,-2.052524722E0,-1.900383094E0,5.570396769E-1,2.852123216E0
9.882077083E-1,-2.019065784E0,-3.706630109E0,1.063710269E0,4.352839641E0
9.982877084E-1,-1.782487439E0,-5.759825506E0,1.279648966E0,6.163631463E0
1.008367708E0,-9.331665015E-1,-7.354050143E0,4.384616518E-1,7.425974808E0
1.018447708E0,-1.158207706E0,-6.468333212E0,-5.051890536E-1,6.590599032E0
1.028527708E0,-1.308540205E0,-4.506893492E0,-4.608937638E-1,4.715590045E0
1.038607708E0,-8.715666693E-1,-2.088466972E0,1.061261601E0,2.499519741E0
1.048687708E0,-2.448176569E-1,8.584273911E-1,5.747554247E-1,1.061685956E0
1.058767708E0,8.029747367E-2,2.608605455E0,-3.565612224E0,4.418694450E0
