"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.092849583E-1,4.389108641E-1,6.618954563E-1,6.538929570E-1,1.028748920E0
6.193639583E-1,7.101652448E-1,5.186088520E-1,3.345238122E-1,9.408485517E-1
6.294439583E-1,9.378388654E-1,4.325425154E-1,-6.107190169E-2,1.034584236E0
6.395229583E-1,1.226110690E0,3.832282680E-1,-3.810151700E-1,1.339919359E0
6.496019583E-1,1.528705708E0,3.277130485E-1,-5.408300988E-1,1.654337988E0
6.596819584E-1,1.762230930E0,3.955056667E-1,-5.618133438E-1,1.891432477E0
6.697609583E-1,1.949916320E0,3.957307845E-1,-4.616891313E-1,2.042531116E0
6.798399583E-1,1.990392208E0,2.064990985E-1,-2.647034160E-1,2.018507101E0
6.899189583E-1,1.701312883E0,1.683477706E-1,6.296318360E-3,1.709633335E0
6.999989583E-1,1.112322558E0,2.275350416E-1,1.319447966E-1,1.142997418E0
7.100779583E-1,2.918272242E-1,1.360652930E-1,5.296334848E-3,3.220325199E-1
7.201569583E-1,-4.589769003E-1,-1.560996079E-1,-4.645262003E-2,4.870161481E-1
7.302369583E-1,-1.051697018E0,-4.454286093E-1,1.319740327E-1,1.149734930E0
7.403159583E-1,-1.461621626E0,-7.011144859E-1,3.361013909E-1,1.655555328E0
7.503949583E-1,-1.822257276E0,-8.203222561E-1,5.993279099E-1,2.086323112E0
7.604749583E-1,-2.075143798E0,-6.755375952E-1,1.029438568E0,2.412947698E0
7.705539583E-1,-1.936855540E0,-2.077217513E-1,1.591916156E0,2.515701643E0
7.806329583E-1,-1.633528012E0,3.382842296E-1,1.814058895E0,2.464479592E0
7.907119583E-1,-1.376521542E0,5.610970598E-1,1.290761161E0,1.968681244E0
8.007919583E-1,-1.118893220E0,5.733727044E-1,5.332006518E-1,1.365643157E0
8.108709583E-1,-8.230945672E-1,4.128186876E-1,-5.923112512E-2,9.227200342E-1
8.209499583E-1,-5.506149025E-1,2.173176169E-1,-5.194713163E-1,7.875621664E-1
8.310299583E-1,-2.829368252E-1,6.990346313E-3,-7.747117082E-1,8.247910904E-1
8.411089583E-1,2.860216700E-2,-1.788821143E-1,-7.171457970E-1,7.396722172E-1
8.511879583E-1,3.500651266E-1,-3.329515690E-1,-4.140178784E-1,6.362492780E-1
8.612679583E-1,6.858478443E-1,-3.081716537E-1,1.128220260E-1,7.603195666E-1
8.713469583E-1,9.699199064E-1,-2.469665086E-1,5.790405567E-1,1.156297993E0
8.814259583E-1,1.081401166E0,-1.623795176E-1,8.606586885E-1,1.391592242E0
8.915049583E-1,9.724695117E-1,-5.838912606E-2,8.732092984E-1,1.308281591E0
9.015849583E-1,7.558929563E-1,-8.818887591E-2,7.843244576E-1,1.092847791E0
9.116639583E-1,4.250711625E-1,-1.962360656E-1,5.440284526E-1,7.177472006E-1
9.217429583E-1,-1.883196665E-1,-3.197672671E-1,1.885482927E-1,4.162521599E-1
9.318229583E-1,-8.159885922E-1,-3.490922230E-1,3.178802244E-2,8.880952883E-1
9.419019583E-1,-1.248740146E0,-3.169109023E-1,2.865346900E-1,1.319805516E0
9.519809583E-1,-1.491702773E0,-2.211639154E-1,7.755067103E-1,1.695730314E0
